EL,ER,SL,SR,type
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
29,29,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
28,28,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
27,27,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
26,26,35,35,2
25,25,35,35,2
25,25,35,35,2
25,25,35,35,2
25,25,35,35,2
25,25,35,35,2
24,24,35,35,2
24,24,35,35,2
24,24,35,35,2
23,23,35,35,2
23,23,35,35,2
23,23,35,35,2
23,23,35,35,2
23,23,35,35,2
35,35,36,36,2
35,35,36,36,2
35,35,36,36,2
35,35,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
34,34,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
33,33,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
32,32,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
31,31,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
30,30,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
29,29,36,36,2
28,28,36,36,2
28,28,36,36,2
28,28,36,36,2
28,28,36,36,2
28,28,36,36,2
28,28,36,36,2
28,28,36,36,2
28,28,36,36,2
28,28,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
27,27,36,36,2
26,26,36,36,2
26,26,36,36,2
26,26,36,36,2
26,26,36,36,2
26,26,36,36,2
26,26,36,36,2
26,26,36,36,2
26,26,36,36,2
