"sampno","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","R0","infectious","incubation","t0","I0","prob","lnlike"
501,0,5,18.6476598274172,7.68682194898923,0.788828786,14,40,40,3,5,10.4277645466015,39.0028648452846,1000,0.828966424488356,1,1.34946857493933,3.27847898849268,3.64315572839976,14.2377776123141,1e-05,-7.78340260138851,-63396.1058790001
551,0,5,18.8723955197392,7.77521650617398,0.788828786,14,40,40,3,5,10.2339726535017,38.958149354955,1000,0.828966424488356,1,1.3478094760031,3.26148614028217,3.64315572839976,13.6825435627117,1e-05,-7.8018365981824,-63365.8534935453
601,0,5,18.8893098634863,8.0026558330362,0.788828786,14,40,40,3,5,9.90694404396107,38.7024152948618,1000,0.828966424488356,1,1.3478094760031,3.28645290445366,3.64315572839976,13.8529105780584,1e-05,-7.84282295487271,-63308.0344216181
651,0,5,18.9785231313696,8.1430651316385,0.788828786,14,40,40,3,5,9.54726309421419,38.3046925240176,1000,0.828966424488356,1,1.3478094760031,3.29108397552111,3.62699226949652,13.3879500409142,1e-05,-7.59552205626828,-63215.869654406
701,0,5,19.0800921130759,8.21500869395999,0.788828786,14,40,40,3,5,9.46572062454103,38.1075749237432,1000,0.828966424488356,1,1.3478094760031,3.33274742973672,3.62699226949652,13.0779275281191,1e-05,-7.8256718975047,-63199.5076359024
751,0,5,19.3396368626337,8.09588395269888,0.788828786,14,40,40,3,5,9.09325933417512,38.0970429530961,1000,0.815828277531255,1,1.3478094760031,3.33274742973672,3.58547124371835,13.1081949364725,1e-05,-7.98398616701538,-63179.9796445086
801,0,5,19.158025155708,8.29442863976917,0.788828786,14,40,40,3,5,8.95446231365807,38.0271102532422,1000,0.804346914112057,1,1.3478094760031,3.34795222058453,3.62559756947495,13.0443831627335,1e-05,-8.26230788856613,-63164.8340507369
851,0,5,19.0561637839757,8.10821048159268,0.788828786,14,40,40,3,5,8.63214407553606,37.7692276291851,1000,0.804346914112057,1,1.3478094760031,3.30044627090853,3.61991751079049,13.112731318987,1e-05,-8.10599661297071,-63083.0705011132
901,0,5,19.1342688793632,7.99333223021075,0.788828786,14,40,40,3,5,8.39723573492077,37.6564942258534,1000,0.797686382616741,1,1.34741732405635,3.30044627090853,3.61991751079049,13.1100199650149,1e-05,-8.14727440167318,-63054.6412692189
951,0,5,19.0517678304969,7.72321120122714,0.788828786,14,40,40,3,5,8.23732932939248,37.4415127699445,1000,0.793465820128732,1,1.34741732405635,3.34622508207628,3.573124093912,13.3378183717416,1e-05,-7.98463759507258,-63034.6154765706
1001,0,5,19.1190541827078,7.63059936246837,0.788828786,14,40,40,3,5,8.23732932939248,37.3410375402223,1000,0.818144476707465,1,1.34741732405635,3.34622508207628,3.57097252249221,13.2688764290698,1e-05,-7.76085333275719,-63030.7537130614
1051,0,5,18.7085809166371,7.04119664189665,0.788828786,14,40,40,3,5,8.16498236834562,36.5386477371023,1000,0.796117777100311,1,1.34741732405635,3.3611052811678,3.5641601850982,14.1364887519038,1e-05,-14.4409185302853,-62975.3777804416
1101,0,5,18.6641865597768,6.80624151274408,0.788828786,14,40,40,3,5,8.07721546175344,36.1438763277143,1000,0.799231321887415,1,1.34741732405635,3.39274669792134,3.53190684013056,14.9912205323531,1e-05,-8.1856835407731,-62952.0477682038
1151,0,5,18.4152374555353,6.81041228713283,0.788828786,14,40,40,3,5,8.12269003689282,35.9982517748702,1000,0.799231321887415,1,1.34741732405635,3.36858609741113,3.53190684013056,15.9404464386129,1e-05,-27.4367636425956,-62941.4433074849
1201,0,5,18.2340908543803,6.49648182397104,0.788828786,14,40,40,3,5,8.18190508538909,35.5457152708322,1000,0.818404305191195,1,1.34741732405635,3.35615907985507,3.54715156718907,14.9617249749225,1e-05,-28.2990888184474,-62911.5727746748
1251,0,5,18.2262805717931,6.21091915683921,0.788828786,14,40,40,3,5,8.12699244914285,34.986700969159,1000,0.821788142326939,1,1.34523354252398,3.37159020179067,3.48417537370034,15.0518643567913,1e-05,-32.5501960636432,-62865.5608693414
1301,0,5,18.0538740921453,5.78923071329055,0.788828786,14,40,40,3,5,7.91649149082126,34.6938846248713,1000,0.842303535469802,1,1.34523354252398,3.39381530725645,3.41837398003727,16.3745283862997,1e-05,-39.1959641073661,-62801.1823342418
