"sampno","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","R0","infectious","incubation","t0","I0","prob","lnlike"
701,0,5,18.3831787436401,4.08139429032076,0.788828786,14,40,40,3,5,14.1847790143782,35.8174494667347,1000,0.135496534636301,1,2.6078977748253,3.19131160041084,5.85204954140694,14.8662816406648,1e-05,-6.75644330242177,-310595.389786014
751,0,5,18.3362319221001,3.64005691440904,0.788828786,14,40,40,3,5,14.2942436719442,35.8174494667347,1000,0.135496534636301,1,2.57267865202789,3.02076613646483,6.098355315785,14.7924653289865,1e-05,-6.6006151428471,-309523.614305663
801,0,5,18.3832321665183,3.39634959720858,0.788828786,14,40,40,3,5,14.4102683316671,35.5583589567847,1000,0.0973413309662417,1,2.5711157560367,2.83992686515593,6.43016201253035,14.2150524576701,1e-05,-6.66903232843559,-308728.552092304
851,0,5,18.2601328388423,3.3078415486034,0.788828786,14,40,40,3,5,14.4123959192558,35.260978312668,1000,0.0973413309662417,1,2.5711157560367,2.83350271471186,6.43016201253035,14.5396205817414,1e-05,-6.81396108090504,-308554.943549028
901,0,5,18.3079437141878,3.19592931108456,0.788828786,14,40,40,3,5,14.7197214569227,34.9704757661496,1000,0.147500041468705,1,2.5711157560367,2.66338921296677,6.70280459971276,14.4907079542609,1e-05,-6.90961952364172,-307935.983218043
951,0,5,18.3378806172839,2.96066480501237,0.788828786,14,40,40,3,5,14.8252893849723,34.9749240413952,1000,0.147500041468705,1,2.59623283199681,2.629106064253,6.92463055957876,14.5450097750452,1e-05,-6.86438366019305,-307487.488503904
1001,0,5,18.3556112450204,2.93817036526673,0.788828786,14,40,40,3,5,14.9091032380147,34.9234634123727,1000,0.0910825246773168,1,2.59623283199681,2.61246651382768,6.92463055957876,14.5859689806885,1e-05,-6.805083210717,-307399.889493703
1051,0,5,18.4467125844463,2.87102288990795,0.788828786,14,40,40,3,5,14.9510952559698,34.6079850189675,1000,0.100178614103239,1,2.52057003486452,2.60435129285502,6.94700136432819,7.58836988512211,1e-05,24.847742720757,-292941.702100246
1101,0,5,18.2253733051148,2.64989797437789,0.788828786,14,40,40,3,5,15.0439493202712,34.6079850189675,1000,0.0986167902728628,1,2.48709321464565,2.69514629830715,7.28051889937021,5.75442281765424,1e-05,44.5933407047781,-288235.433240463
1151,0,5,18.2302839883807,2.49455548828979,0.788828786,14,40,40,3,5,15.3266784552648,34.5298777692495,1000,0.0393377031716005,1,2.46807654403171,2.60418422610272,7.58402399425066,3.81494903171033,1e-05,38.7442104234892,-284109.702461135
1201,0,5,18.1711782280489,2.49455548828979,0.788828786,14,40,40,3,5,15.6806230559532,34.1507952615636,1000,0.0757026274862571,1,2.41264874605113,2.50916567956611,7.77631268584718,0.181122661947422,1e-05,22.4776818709974,-278821.975423022
